0	1	1
0.1	0.9	1.1
0.2	0.79	1.19
0.3	0.671	1.269
0.4	0.5441	1.3361
0.5	0.41049	1.39051
0.6	0.271439	1.43156
0.7	0.128283	1.4587
0.8	-0.0175872	1.47153
0.9	-0.16474	1.46977
1	-0.311718	1.4533
1.1	-0.457047	1.42213
1.2	-0.59926	1.37642
1.3	-0.736902	1.3165
1.4	-0.868552	1.24281
1.5	-0.992832	1.15595
1.6	-1.10843	1.05667
1.7	-1.21409	0.945825
1.8	-1.30868	0.824415
1.9	-1.39112	0.693547
2	-1.46047	0.554436
2.1	-1.51592	0.408388
2.2	-1.55676	0.256797
2.3	-1.58244	0.101121
2.4	-1.59255	-0.0571223
2.5	-1.58683	-0.216377
2.6	-1.5652	-0.375061
2.7	-1.52769	-0.53158
2.8	-1.47453	-0.684349
2.9	-1.4061	-0.831803
3	-1.32292	-0.972412
3.1	-1.22568	-1.1047
3.2	-1.11521	-1.22727
3.3	-0.992479	-1.33879
3.4	-0.8586	-1.43804
3.5	-0.714796	-1.5239
3.6	-0.562406	-1.59538
3.7	-0.402868	-1.65162
3.8	-0.237706	-1.69191
3.9	-0.0685149	-1.71568
4	0.103053	-1.72253
4.1	0.275306	-1.71222
4.2	0.446528	-1.68469
4.3	0.614998	-1.64004
4.4	0.779002	-1.57854
4.5	0.936856	-1.50064
4.6	1.08692	-1.40696
4.7	1.22762	-1.29826
4.8	1.35744	-1.1755
4.9	1.47499	-1.03976
5	1.57897	-0.892258
5.1	1.66819	-0.734362
5.2	1.74163	-0.567542
5.3	1.79838	-0.393379
5.4	1.83772	-0.213541
5.5	1.85908	-0.0297687
5.6	1.86205	0.156139
5.7	1.84644	0.342344
5.8	1.8122	0.526988
5.9	1.75951	0.708208
6	1.68868	0.884159
6.1	1.60027	1.05303
6.2	1.49497	1.21305
6.3	1.37366	1.36255
6.4	1.23741	1.49992
6.5	1.08741	1.62366
6.6	0.925048	1.7324
6.7	0.751808	1.8249
6.8	0.569318	1.90008
6.9	0.379309	1.95702
7	0.183608	1.99495
7.1	-0.0158871	2.01331
7.2	-0.217218	2.01172
7.3	-0.41839	1.99
7.4	-0.61739	1.94816
7.5	-0.812205	1.88642
7.6	-1.00085	1.8052
7.7	-1.18137	1.70511
7.8	-1.35188	1.58698
7.9	-1.51058	1.45179
8	-1.65576	1.30073
8.1	-1.78583	1.13516
8.2	-1.89934	0.956574
8.3	-1.995	0.766639
8.4	-2.07167	0.567139
8.5	-2.12838	0.359973
8.6	-2.16438	0.147135
8.7	-2.17909	-0.0693031
8.8	-2.17216	-0.287212
8.9	-2.14344	-0.504428
9	-2.093	-0.718772
9.1	-2.02112	-0.928072
9.2	-1.92831	-1.13018
9.3	-1.81529	-1.32301
9.4	-1.68299	-1.50454
9.5	-1.53254	-1.67284
9.6	-1.36525	-1.8261
9.7	-1.18264	-1.96262
9.8	-0.986381	-2.08089
9.9	-0.778293	-2.17952
